127.0.0.1 - - [10/Oct/2022:23:16:59 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/tt_slideshow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/totop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/images/73.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/images/72.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/images/74.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/images/HomeDesktopSlide1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/images/HomeTabletSlide0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/images/HomeDesktopSlide2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/Fonts/Roboto/regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/Fonts/Roboto/Roboto-Light.ttf HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/images/footergoogleplus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/images/footerfacebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /ServiceProvider/images/footertwitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:08 +0530] "GET /ServiceProvider/images/HomeDesktopSlide0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:17 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:17 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 19642
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:17 +0530] "GET /ServiceProvider/Fonts/Roboto/Roboto-Light.ttf HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:24 +0530] "GET /ServiceProvider/Show.jsp HTTP/1.1" 200 14967
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:24 +0530] "GET /ServiceProvider/Fonts/Roboto/Roboto-Light.ttf HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:29 +0530] "GET /ServiceProvider/ShowAllUser.jsp HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:32 +0530] "GET /ServiceProvider/SearchforServiceProvider.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:36 +0530] "GET /ServiceProvider/SearchForUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:17:40 +0530] "GET /ServiceProvider/ShowAllUser.jsp HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:20:07 +0530] "GET /ServiceProvider/ShowAllUser.jsp HTTP/1.1" 200 13266
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:20:07 +0530] "GET /ServiceProvider/Fonts/Roboto/Roboto-Light.ttf HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:20:37 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 19642
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:20:37 +0530] "GET /ServiceProvider/Fonts/Roboto/Roboto-Light.ttf HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [10/Oct/2022:23:21:25 +0530] "GET /ServiceProvider/SearchServiceProvider.jsp?name=suresh HTTP/1.1" 200 380
